codigo,dt,moeda,saldo_raw,saldo_real,fator
371,1991-04-30,CRUZEIRO (novo),757998.23,0.27563572,2750000.0
271,1991-04-30,CRUZEIRO (novo),740835.75,0.2693948181818182,2750000.0
5129,1990-07-30,CRUZEIRO (novo),712516.01,0.2590967309090909,2750000.0
5737,1988-06-30,CRUZADO,701317.85,0.0002550246727272727,2750000000.0
5109,1990-08-30,CRUZEIRO (novo),699702.86,0.25443740363636363,2750000.0
6337,1990-07-30,CRUZEIRO (novo),688353.25,0.25031027272727274,2750000.0
321,1994-04-30,CRUZEIRO REAL,657367.17,239.04260727272728,2750.0
140,1991-03-30,CRUZEIRO (novo),634810.18,0.23084006545454547,2750000.0
5785,1990-11-30,CRUZEIRO (novo),623943.12,0.22688840727272727,2750000.0
6503,1988-03-30,CRUZADO,612180.72,0.00022261117090909092,2750000000.0
351,1994-05-30,CRUZEIRO REAL,599985.26,218.1764581818182,2750.0
6582,1988-02-28,CRUZADO,598928.73,0.00021779226545454546,2750000000.0
6797,1990-04-30,CRUZEIRO (novo),593907.11,0.2159662218181818,2750000.0
6743,1990-08-30,CRUZEIRO (novo),587856.21,0.21376589454545455,2750000.0
6441,1990-05-30,CRUZEIRO (novo),578603.89,0.21040141454545455,2750000.0
5018,1990-07-30,CRUZEIRO (novo),576805.55,0.20974747272727273,2750000.0
132,1988-12-15,CRUZADO,568383.67,0.00020668497090909092,2750000000.0
902,1993-10-30,CRUZEIRO REAL,562219.54,204.4434690909091,2750.0
862,1990-12-30,CRUZEIRO (novo),486948.28,0.1770721018181818,2750000.0
5286,1993-09-30,CRUZEIRO REAL,470210.1,170.9854909090909,2750.0
5137,1993-09-30,CRUZEIRO REAL,467019.71,169.8253490909091,2750.0
872,1988-05-30,CRUZADO,466706.19,0.00016971134181818182,2750000000.0
5773,1990-08-30,CRUZEIRO (novo),446422.75,0.16233554545454545,2750000.0
6539,1987-12-30,CRUZADO,431393.83,0.00015687048363636363,2750000000.0
6990,1987-12-30,CRUZADO,427181.33,0.00015533866545454545,2750000000.0
6713,1987-12-30,CRUZADO,426594.86,0.00015512540363636363,2750000000.0
4113,1991-12-15,CRUZEIRO (novo),403350.06,0.1466727490909091,2750000.0
5207,1988-01-30,CRUZADO,401581.87,0.0001460297709090909,2750000000.0
5765,1991-05-30,CRUZEIRO (novo),378849.21,0.1377633490909091,2750000.0
6618,1987-08-30,CRUZADO,364433.7,0.00013252134545454545,2750000000.0
572,1993-09-30,CRUZEIRO REAL,357620.13,130.04368363636362,2750.0
775,1990-06-30,CRUZEIRO (novo),355733.22,0.12935753454545454,2750000.0
158,1993-12-30,CRUZEIRO REAL,317906.59,115.60239636363636,2750.0
5675,1987-09-30,CRUZADO,302111.2,0.00010985861818181818,2750000000.0
7537,1991-08-15,CRUZEIRO (novo),299765.03,0.10900546545454545,2750000.0
5067,1987-12-30,CRUZADO,282213.24,0.00010262299636363637,2750000000.0
5559,1987-12-30,CRUZADO,279589.91,0.00010166905818181819,2750000000.0
5651,1987-11-30,CRUZADO,279390.16,0.00010159642181818182,2750000000.0
7590,1994-01-15,CRUZEIRO REAL,255945.3,93.07101818181818,2750.0
7552,1991-06-15,CRUZEIRO (novo),239133.4,0.0869576,2750000.0
